Percentage at School,Percentage at College,Hours Studing per day,Interested in extracurricular activites?,Participated in any competition?,Self-learning capability?,Extra-courses did,Olympiads,Reading and Writing Skills,Job or Higher Studies?,Managerial or Technical,Hard Worker or Smart Worker,Worked in teams ever?,Are you Introvert?,School Major,Favorite Subject at School,College Major,Favorite Subject at College,Skills,Hours working per day,Interested Subjects,Workshops,Certifications,Name of University,Alternate University,Suggested Job Role,Course of Study
78,89,9,0,0,1,1,1,3,Higher Studies,Technical,Hard Worker,0,1,Biology,chemistry,Pre-engineering,maths,critical thinking,9,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
77,77,6,0,0,3,0,0,2,Higher Studies,Managerial,Hard Worker,1,0,Biology,english,Pre-engineering,computer,decision making,10,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
84,75,15,1,1,3,0,0,5,Higher Studies,Technical,Hard Worker,1,0,Computer,pakistan studies,Commerce,computer,decision making,4,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
76,62,15,0,0,3,1,1,5,Higher Studies,Technical,Hard Worker,1,1,Biology,english,Pre-engineering,pakistan studies,reading books,8,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
86,90,6,0,0,2,0,1,2,Job,Managerial,Smart Worker,0,0,Biology,maths,Pre-engineering,english,management,10,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
77,67,6,1,0,3,1,1,2,Higher Studies,Technical,Hard Worker,0,0,Biology,physics,Pre-engineering,maths,graphic designing,6,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
76,74,3,0,0,3,0,0,1,Higher Studies,Managerial,Hard Worker,1,1,Biology,maths,Pre-engineering,computer,teamwork,10,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
62,74,3,1,1,4,0,0,1,Job,Managerial,Smart Worker,0,1,Computer,physics,Pre-engineering,maths,decision making,12,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
75,94,9,0,0,4,0,0,3,Higher Studies,Managerial,Smart Worker,1,1,Computer,maths,Computer Science,computer,programming,10,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
73,61,9,1,1,4,1,0,3,Higher Studies,Technical,Hard Worker,1,1,Biology,maths,Computer Science,maths,testing,7,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
76,78,9,1,0,4,0,1,3,Higher Studies,Managerial,Hard Worker,1,0,Biology,maths,Commerce,chemistry,development,9,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
64,86,6,1,1,4,0,1,2,Higher Studies,Technical,Smart Worker,0,1,Biology,physics,Computer Science,pyhsics,adaptability,4,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
63,63,6,1,0,4,1,0,2,Job,Managerial,Smart Worker,0,0,Computer,maths,Pre-engineering,computer,development,5,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
93,61,9,1,0,5,0,0,3,Higher Studies,Technical,Hard Worker,0,1,Computer,urdu,Computer Science,physics,teamwork,7,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
67,93,9,1,0,4,1,0,3,Job,Technical,Smart Worker,1,1,Biology,maths,Pre-engineering,maths,adaptability,9,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
68,90,9,0,0,3,0,0,3,Higher Studies,Technical,Smart Worker,0,1,Biology,maths,Computer Science,computer,development,9,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
67,82,15,1,1,3,1,1,5,Job,Managerial,Hard Worker,1,0,Biology,physics,Computer Science,maths,adaptability,9,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
80,63,6,1,0,5,1,1,2,Higher Studies,Technical,Smart Worker,0,0,Biology,english,Pre-engineering,physics,programming,10,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
65,88,6,0,0,4,1,0,2,Higher Studies,Technical,Hard Worker,1,0,Computer,english,Pre-engineering,computer,decision making,12,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
74,68,9,0,0,5,1,0,3,Higher Studies,Technical,Hard Worker,0,0,Biology,english,Pre-engineering,accounting,adaptability,9,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
70,84,12,1,1,4,1,1,4,Higher Studies,Managerial,Smart Worker,0,1,Biology,maths,Computer Science,computer,decision making,12,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
86,68,9,0,0,4,1,0,3,Job,Managerial,Hard Worker,0,0,Biology,physics,Pre-engineering,islamic studies,development,7,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
78,73,3,1,0,4,0,1,1,Higher Studies,Technical,Hard Worker,1,0,Biology,physics,Computer Science,english,adaptability,5,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
88,85,9,1,1,5,1,1,3,Higher Studies,Technical,Hard Worker,0,1,Biology,english,Pre-engineering,maths,testing,12,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
71,75,12,0,0,3,1,0,4,Higher Studies,Technical,Hard Worker,1,1,Biology,maths,Computer Science,computer,teamwork,10,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
77,60,12,0,0,5,0,0,4,Job,Managerial,Smart Worker,0,0,Biology,maths,Computer Science,computer,testing,7,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
94,66,9,0,0,5,0,0,3,Job,Technical,Smart Worker,0,1,Biology,maths,Humanities,pakistan studies,adaptability,9,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
82,79,3,0,0,3,1,1,1,Higher Studies,Managerial,Smart Worker,0,0,Biology,maths,Humanities,english,decision making,6,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
90,78,9,0,0,5,0,1,3,Job,Technical,Hard Worker,0,1,Computer,maths,Pre-engineering,maths,testing,9,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
66,69,9,1,0,3,1,0,3,Higher Studies,Technical,Smart Worker,0,0,Biology,physics,Computer Science,computer,testing,12,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
72,76,15,0,0,4,1,0,5,Higher Studies,Technical,Smart Worker,0,1,Computer,maths,Computer Science,maths,development,8,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
81,85,6,1,1,3,0,1,2,Higher Studies,Technical,Smart Worker,0,1,Biology,maths,Pre-engineering,computer,development,11,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
65,71,3,0,0,5,0,0,1,Higher Studies,Managerial,Smart Worker,1,1,Biology,maths,Computer Science,maths,adaptability,6,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
60,62,12,1,1,5,0,0,4,Higher Studies,Technical,Hard Worker,1,1,Biology,maths,Pre-engineering,chemistry,decision making,8,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
73,86,9,0,0,4,0,0,3,Higher Studies,Technical,Hard Worker,1,1,Computer,maths,Pre-engineering,pyhsics,adaptability,8,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
72,84,6,0,0,1,0,0,2,Higher Studies,Managerial,Smart Worker,0,1,Biology,maths,Pre-engineering,computer,programming,12,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
94,86,3,0,0,2,1,0,1,Higher Studies,Managerial,Smart Worker,0,1,Biology,maths,Pre-engineering,physics,testing,6,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
91,63,9,0,0,3,0,0,3,Higher Studies,Technical,Hard Worker,0,0,Biology,urdu,Pre-engineering,maths,testing,6,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
70,61,3,0,0,1,1,1,1,Job,Technical,Hard Worker,1,1,Biology,maths,Pre-engineering,maths,adaptability,8,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
81,85,12,0,0,5,0,0,4,Higher Studies,Managerial,Hard Worker,0,0,Computer,computer,Pre-engineering,maths,testing,7,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
87,61,9,1,1,4,1,0,3,Higher Studies,Managerial,Hard Worker,0,0,Computer,maths,Computer Science,physics,decision making,5,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
64,75,3,0,0,5,0,0,1,Job,Technical,Hard Worker,0,1,Biology,physics,Computer Science,english,teamwork,6,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
93,68,6,1,0,5,0,1,2,Higher Studies,Technical,Smart Worker,1,1,Biology,physics,Computer Science,english,decision making,9,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
77,64,12,1,1,2,0,0,4,Higher Studies,Managerial,Hard Worker,0,1,Biology,physics,Computer Science,maths,development,8,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
79,79,3,1,0,5,0,1,1,Higher Studies,Managerial,Smart Worker,0,0,Computer,maths,Pre-engineering,english,programming,4,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
93,75,9,0,0,4,0,1,3,Job,Technical,Hard Worker,1,1,Computer,maths,Pre-engineering,physics,adaptability,12,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
69,93,3,0,0,2,0,0,1,Higher Studies,Managerial,Hard Worker,1,1,Computer,physics,Computer Science,english,programming,8,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
68,84,12,0,0,3,1,1,4,Job,Technical,Smart Worker,0,0,Computer,maths,Pre-engineering,computer,programming,8,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
94,73,12,0,0,2,0,0,4,Higher Studies,Technical,Smart Worker,1,1,Computer,urdu,Pre-engineering,english,programming,11,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
77,67,6,0,0,4,1,0,2,Job,Technical,Smart Worker,1,1,Computer,maths,Computer Science,maths,teamwork,9,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
74,89,6,0,0,4,1,0,2,Higher Studies,Managerial,Hard Worker,1,1,Computer,maths,Pre-engineering,physics,decision making,12,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
78,80,6,0,0,4,1,1,2,Higher Studies,Managerial,Hard Worker,1,1,Biology,physics,Computer Science,physics,decision making,9,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
84,71,12,1,0,4,0,0,4,Job,Technical,Hard Worker,1,1,Computer,english,Pre-engineering,english,adaptability,8,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
83,65,12,0,0,4,0,1,4,Job,Technical,Hard Worker,0,1,Biology,english,Computer Science,maths,programming,12,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
83,81,9,0,0,3,0,0,3,Job,Managerial,Smart Worker,0,1,Biology,english,Computer Science,maths,development,9,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
67,63,15,0,0,3,0,1,5,Higher Studies,Managerial,Hard Worker,0,0,Biology,maths,Humanities,maths,development,5,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
67,67,6,1,0,3,0,0,2,Job,Managerial,Hard Worker,1,0,Biology,physics,Humanities,computer,programming,7,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
76,93,9,1,0,4,0,1,3,Job,Technical,Smart Worker,1,0,Biology,physics,Pre-engineering,maths,testing,11,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
81,61,6,0,0,5,0,1,2,Higher Studies,Managerial,Smart Worker,0,1,Biology,english,Computer Science,computer,teamwork,5,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
73,81,3,0,0,4,1,0,1,Higher Studies,Managerial,Smart Worker,1,1,Biology,maths,Computer Science,maths,decision making,12,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
91,91,12,0,0,4,0,1,4,Job,Managerial,Smart Worker,1,0,Biology,maths,Pre-engineering,maths,testing,8,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
88,76,12,1,0,4,0,1,4,Job,Managerial,Smart Worker,1,1,Biology,maths,Computer Science,maths,testing,7,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
90,74,12,1,1,4,0,1,4,Higher Studies,Technical,Smart Worker,1,1,Computer,maths,Pre-engineering,computer,programming,7,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
79,71,15,0,0,4,1,1,5,Higher Studies,Managerial,Smart Worker,0,0,Biology,maths,Pre-engineering,maths,testing,4,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
91,88,9,0,0,4,1,0,3,Higher Studies,Managerial,Hard Worker,1,0,Computer,physics,Pre-engineering,physics,decision making,10,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
76,72,6,1,0,4,0,0,2,Job,Managerial,Hard Worker,0,0,Computer,maths,Pre-engineering,maths,testing,11,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
84,84,3,1,1,4,0,1,1,Higher Studies,Technical,Hard Worker,0,1,Biology,maths,Pre-engineering,urdu,development,11,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
69,88,3,0,0,4,0,1,1,Higher Studies,Managerial,Smart Worker,1,1,Biology,maths,Pre-engineering,maths,testing,7,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
80,88,3,1,1,5,1,0,1,Job,Technical,Hard Worker,0,0,Computer,maths,Pre-engineering,computer,adaptability,7,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
72,74,3,0,0,4,1,0,1,Higher Studies,Technical,Smart Worker,0,0,Biology,maths,Computer Science,computer,programming,9,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
89,71,3,0,0,3,0,0,1,Job,Managerial,Hard Worker,0,0,Biology,maths,Computer Science,accounting,programming,12,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
66,75,9,0,0,4,0,1,3,Job,Technical,Hard Worker,0,0,Biology,maths,Computer Science,computer,adaptability,10,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
92,78,9,0,0,5,1,0,3,Higher Studies,Managerial,Hard Worker,1,0,Biology,urdu,Computer Science,islamic studies,adaptability,10,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
91,79,15,0,0,3,1,1,5,Higher Studies,Managerial,Hard Worker,1,0,Computer,maths,Pre-engineering,english,adaptability,7,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
77,66,6,0,0,3,0,1,2,Higher Studies,Managerial,Smart Worker,0,0,Computer,computer,Pre-engineering,maths,development,7,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
70,72,6,0,0,2,1,1,2,Higher Studies,Technical,Hard Worker,0,0,Biology,maths,Computer Science,computer,development,11,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
82,81,12,1,0,4,0,0,4,Higher Studies,Technical,Smart Worker,1,0,Biology,physics,Pre-engineering,computer,development,8,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
76,85,3,1,1,2,0,0,1,Higher Studies,Technical,Hard Worker,1,0,Biology,computer,Pre-engineering,pakistan studies,teamwork,11,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
85,60,15,0,0,5,0,0,5,Job,Technical,Hard Worker,1,1,Computer,maths,Pre-engineering,english,testing,6,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
87,93,3,0,0,3,0,0,1,Higher Studies,Managerial,Smart Worker,0,1,Computer,english,Pre-engineering,maths,decision making,6,Surveillance,Ethical Hacking Workshop,Certified Ethical Hacker,COMSATS Institute of Information Technology,Pakistan Institute of Engineering and Applied Sciences,Ethical Hacker,CRF
67,75,9,0,0,2,0,0,3,Job,Technical,Hard Worker,1,0,Computer,maths,Pre-engineering,computer,programming,9,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
70,61,9,0,0,2,0,1,3,Job,Managerial,Smart Worker,0,1,Computer,computer,Pre-engineering,maths,decision making,4,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
82,62,12,1,1,2,0,1,4,Higher Studies,Managerial,Smart Worker,0,1,Biology,physics,Computer Science,computer,decision making,12,Cloud Computing,Cloud Computing Workshop,Associate Cloud Engineer,Qurtuba University of Science and Information Technology,City University of Science and Information Technology,Cloud Engineer,"MIS, CS"
92,92,6,0,0,5,1,0,2,Higher Studies,Managerial,Smart Worker,1,0,Computer,physics,Computer Science,maths,programming,12,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
68,82,9,1,1,4,1,1,3,Higher Studies,Technical,Smart Worker,0,0,Computer,english,Pre-engineering,chemistry,teamwork,5,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
66,71,12,1,0,2,0,0,4,Job,Managerial,Hard Worker,1,0,Computer,maths,Pre-engineering,pyhsics,decision making,4,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
73,66,12,1,0,4,0,0,4,Higher Studies,Managerial,Hard Worker,0,1,Computer,maths,Commerce,computer,decision making,4,Computer Systems,Computer Architecture Education,AWS Certified Solution Architect,National University of Science & Technology (NUST),University of the Punjab,Computer Engineer,"CS, CE, EE, CP, CIS"
77,63,6,1,0,4,0,0,2,Higher Studies,Managerial,Smart Worker,0,1,Computer,maths,Pre-engineering,physics,adaptability,4,Fixing Issues,System Designing,IT Consultant Certification,"BUITEMS, Quetta","Quaid-e-Awam University of Engineering, Science and Technology",IT Consultant,"IT, CS"
77,76,3,1,0,3,0,1,1,Job,Managerial,Smart Worker,0,1,Computer,maths,Pre-engineering,maths,programming,5,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
89,93,3,1,0,2,1,0,1,Job,Managerial,Hard Worker,1,0,Computer,maths,Pre-engineering,computer,development,9,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
80,70,12,1,1,1,0,0,4,Job,Technical,Smart Worker,1,0,Biology,chemistry,Pre-engineering,maths,development,8,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
80,71,15,0,0,4,1,0,5,Higher Studies,Managerial,Hard Worker,0,1,Computer,english,Pre-engineering,physics,programming,5,Computer Networking,Training on Successful Networking,Cisco CCNA,NED University of Engineering & Technology,University of Engineering and Technology (Taxila),Network Engineer,"CS, IT, E, CRF"
78,94,3,1,1,1,1,1,1,Job,Managerial,Hard Worker,0,0,Biology,pakistan studies,Computer Science,computer,testing,6,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
70,74,12,1,1,3,1,1,4,Higher Studies,Technical,Hard Worker,1,1,Computer,english,Computer Science,computer,teamwork,12,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
85,85,3,0,0,3,1,1,1,Higher Studies,Managerial,Smart Worker,0,1,Biology,maths,Commerce,computer,decision making,11,Automation,Expert Lecture on IOT,Certified IoT Professional Program,Mehran University of Engineering and Technology,Sir Syed University of Engineering and Technology,IOT Engineer,"EE, CS"
78,92,12,0,0,3,1,0,4,Job,Managerial,Hard Worker,1,0,Biology,physics,Computer Science,pakistan studies,testing,9,Introduction to Algorithms,Effective Problem Solving,CERTIFIED SOFTWARE ENGINEER,FAST National University,National University of Science & Technology (NUST),Software Engineer,SE
84,83,3,0,0,2,1,0,1,Higher Studies,Managerial,Hard Worker,1,1,Biology,maths,Pre-engineering,english,testing,4,Economics,Effective Decision Making,Certified General Manager,Lahore University of Management Sciences,"University of Management & Technology, Lahore",General Manager,MBA
67,63,6,0,0,3,1,0,2,Job,Managerial,Hard Worker,1,1,Biology,physics,Computer Science,maths,programming,11,Algorithmic Complexity,Coding Workshops,Microsoft Certified Solutions Developer,"University of Management & Technology, Lahore",Lahore University of Management Sciences,Programmer,"CS, IT, CIS, MIS"
84,94,6,1,1,3,0,1,2,Higher Studies,Managerial,Smart Worker,1,1,Biology,maths,Pre-engineering,computer,testing,7,Econometrics Mathematics,Industrial Training on Big Data,Google Professional Data Engineer,University of Engineering and Technology (Taxila),NED University of Engineering & Technology,Data Engineer,"CS, IT, SE"
